Total 1 configurations will be processed in 1 threads
parsing download/uni-short-btcusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-btcusdc-1m.json: load 226081 elements
parsing took 0.132 sec
parsing download/uni-short-ethusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-ethusdc-1m.json: load 226081 elements
parsing took 0.133 sec
parsing download/uni-short-ethbtc-1m.json
mapped_file::open: base=0x7f9116c00000
download/uni-short-ethbtc-1m.json: load 226081 elements
parsing took 0.130 sec
sorting took 0.177 sec
1.0000000000000000 93232.6346195622172672 3331.8023377815734420 
Using temp file '_tmp.31699' as interprocedural connect
mapped_file::open: base=0x7f9105400000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736304035 4.5%	trades: 0	AMM: 96702.794, 3394.204	Target: 98493.794, 3515.692	Vol: 2773575.9409	PR:0.51	xCP-growth: {1.0002596616}	APY:1.3%	fee:0.847% .
t=1736314275 4.6%	trades: 0	AMM: 96702.794, 3369.855	Target: 98493.794, 3515.692	Vol: 2792153.1629	PR:0.51	xCP-growth: {1.0002678496}	APY:1.4%	fee:0.915% .
t=1736324515 4.7%	trades: 0	AMM: 96702.794, 3340.202	Target: 98314.694, 3502.167	Vol: 2820819.3889	PR:0.51	xCP-growth: {1.0002737553}	APY:1.4%	fee:0.965% .
t=1736334755 4.8%	trades: 0	AMM: 96702.794, 3340.202	Target: 98314.694, 3502.167	Vol: 2820819.3889	PR:0.51	xCP-growth: {1.0002737553}	APY:1.3%	fee:0.965% .
t=1736344995 4.8%	trades: 0	AMM: 95492.953, 3340.202	Target: 98314.694, 3502.167	Vol: 2825981.4999	PR:0.51	xCP-growth: {1.0002762468}	APY:1.3%	fee:0.973% .
t=1736355235 4.9%	trades: 0	AMM: 95494.779, 3344.480	Target: 98032.520, 3486.626	Vol: 2840926.5618	PR:0.50	xCP-growth: {1.0002741004}	APY:1.3%	fee:0.904% .
t=1736365475 5.0%	trades: 0	AMM: 93445.307, 3294.733	Target: 96668.935, 3413.575	Vol: 3013464.4607	PR:0.51	xCP-growth: {1.0003190338}	APY:1.5%	fee:0.845% .
t=1736375715 5.1%	trades: 0	AMM: 93445.307, 3294.733	Target: 96668.935, 3413.575	Vol: 3013464.4607	PR:0.51	xCP-growth: {1.0003190338}	APY:1.5%	fee:0.845% .
t=1736385955 5.1%	trades: 0	AMM: 93445.307, 3333.145	Target: 96346.572, 3402.349	Vol: 3048322.0607	PR:0.50	xCP-growth: {1.0003235103}	APY:1.5%	fee:0.620% .
t=1736396195 5.2%	trades: 0	AMM: 94312.765, 3333.145	Target: 96346.572, 3402.349	Vol: 3069338.2377	PR:0.51	xCP-growth: {1.0003309354}	APY:1.5%	fee:0.708% .
t=1736406435 5.3%	trades: 0	AMM: 94312.765, 3333.145	Target: 96346.572, 3402.349	Vol: 3069338.2377	PR:0.51	xCP-growth: {1.0003309354}	APY:1.5%	fee:0.708% .
t=1736416675 5.4%	trades: 0	AMM: 93419.900, 3312.472	Target: 95876.440, 3385.036	Vol: 3128812.4154	PR:0.51	xCP-growth: {1.0003409172}	APY:1.5%	fee:0.766% .
t=1736426915 5.4%	trades: 0	AMM: 93419.900, 3312.472	Target: 95876.440, 3385.036	Vol: 3128812.4154	PR:0.51	xCP-growth: {1.0003409172}	APY:1.5%	fee:0.766% .
t=1736437155 5.5%	trades: 0	AMM: 93160.430, 3278.715	Target: 94982.070, 3350.940	Vol: 3238628.9099	PR:0.50	xCP-growth: {1.0003616394}	APY:1.5%	fee:0.648% .
t=1736447395 5.6%	trades: 0	AMM: 93034.871, 3273.917	Target: 94150.124, 3323.464	Vol: 3395690.4592	PR:0.50	xCP-growth: {1.0003801760}	APY:1.6%	fee:0.587% .
t=1736457635 5.7%	trades: 0	AMM: 92655.923, 3188.976	Target: 93794.523, 3302.625	Vol: 3476659.7036	PR:0.50	xCP-growth: {1.0003978723}	APY:1.6%	fee:0.829% .
t=1736467875 5.7%	trades: 0	AMM: 92655.923, 3216.152	Target: 93680.664, 3293.786	Vol: 3502087.1036	PR:0.50	xCP-growth: {1.0004014097}	APY:1.6%	fee:0.662% .
t=1736478115 5.8%	trades: 0	AMM: 93218.495, 3216.152	Target: 93578.189, 3287.006	Vol: 3549456.7036	PR:0.51	xCP-growth: {1.0004094232}	APY:1.7%	fee:0.487% .
t=1736488355 5.9%	trades: 0	AMM: 93910.125, 3270.900	Target: 93515.794, 3267.608	Vol: 3648082.5036	PR:0.50	xCP-growth: {1.0004136799}	APY:1.6%	fee:0.238% .
t=1736498595 6.0%	trades: 0	AMM: 93910.125, 3296.833	Target: 93700.421, 3273.629	Vol: 3713106.5036	PR:0.50	xCP-growth: {1.0004190933}	APY:1.6%	fee:0.384% .
