Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736064855 2.8%	trades: 0	AMM: 96694.096, 3638.635	Target: 96404.863, 3473.762	Vol: 2498800.1015	PR:0.51	xCP-growth: {1.0001378471}	APY:1.2%	fee:0.955% .
t=1736075095 2.9%	trades: 0	AMM: 96694.096, 3638.635	Target: 96404.863, 3473.762	Vol: 2498800.1015	PR:0.51	xCP-growth: {1.0001378471}	APY:1.1%	fee:0.955% .
t=1736085335 2.9%	trades: 0	AMM: 96694.096, 3638.635	Target: 96404.863, 3473.762	Vol: 2498800.1015	PR:0.51	xCP-growth: {1.0001378471}	APY:1.1%	fee:0.955% .
t=1736095575 3.0%	trades: 0	AMM: 96694.096, 3633.161	Target: 96404.863, 3473.762	Vol: 2503680.7278	PR:0.52	xCP-growth: {1.0001400426}	APY:1.1%	fee:0.941% .
t=1736105815 3.1%	trades: 0	AMM: 96694.096, 3633.161	Target: 96404.863, 3473.762	Vol: 2503680.7278	PR:0.52	xCP-growth: {1.0001400426}	APY:1.1%	fee:0.941% .
t=1736116055 3.2%	trades: 0	AMM: 96694.096, 3633.161	Target: 96404.863, 3473.762	Vol: 2503680.7278	PR:0.52	xCP-growth: {1.0001400426}	APY:1.0%	fee:0.941% .
t=1736126295 3.2%	trades: 0	AMM: 96694.096, 3633.161	Target: 96404.863, 3473.762	Vol: 2503680.7278	PR:0.52	xCP-growth: {1.0001400426}	APY:1.0%	fee:0.941% .
t=1736136535 3.3%	trades: 0	AMM: 96694.096, 3651.996	Target: 96433.786, 3487.623	Vol: 2520504.5278	PR:0.50	xCP-growth: {1.0001400104}	APY:1.0%	fee:0.948% .
t=1736146775 3.4%	trades: 0	AMM: 98861.960, 3651.996	Target: 96433.786, 3487.623	Vol: 2539229.7278	PR:0.52	xCP-growth: {1.0001486293}	APY:1.0%	fee:0.974% .
t=1736157015 3.5%	trades: 0	AMM: 98861.960, 3651.996	Target: 96433.786, 3487.623	Vol: 2539229.7278	PR:0.52	xCP-growth: {1.0001486293}	APY:1.0%	fee:0.974% .
