Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f09fdc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.107 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f09fde00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f09f9800000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.107 sec
sorting took 0.177 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31481' as interprocedural connect
mapped_file::open: base=0x7f09c4200000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736474455 5.8%	trades: 0	AMM: 92973.854, 3237.095	Target: 92910.963, 3229.662	Vol: 20509130.1896	PR:0.50	xCP-growth: {1.0003575383}	APY:1.4%	fee:0.045% *
t=1736484695 5.9%	trades: 0	AMM: 93707.529, 3250.966	Target: 93165.878, 3238.381	Vol: 20773884.7008	PR:0.50	xCP-growth: {1.0003600571}	APY:1.4%	fee:0.051% *
t=1736494935 6.0%	trades: 0	AMM: 94912.086, 3300.746	Target: 93267.932, 3241.209	Vol: 20945469.2660	PR:0.50	xCP-growth: {1.0003648968}	APY:1.4%	fee:0.107% *
t=1736505175 6.0%	trades: 0	AMM: 94728.813, 3305.007	Target: 93395.291, 3245.867	Vol: 20983644.2822	PR:0.50	xCP-growth: {1.0003648986}	APY:1.4%	fee:0.099% *
t=1736515415 6.1%	trades: 0	AMM: 94844.274, 3304.128	Target: 93544.991, 3251.756	Vol: 21083127.9652	PR:0.50	xCP-growth: {1.0003675469}	APY:1.4%	fee:0.089% *
t=1736525655 6.2%	trades: 0	AMM: 93617.553, 3241.936	Target: 93748.219, 3246.247	Vol: 24228519.6333	PR:0.50	xCP-growth: {1.0004072266}	APY:1.5%	fee:0.040% *
t=1736535895 6.3%	trades: 0	AMM: 94775.312, 3282.900	Target: 94213.708, 3274.487	Vol: 25576140.4302	PR:0.50	xCP-growth: {1.0004214115}	APY:1.6%	fee:0.054% *
t=1736546135 6.3%	trades: 0	AMM: 94751.310, 3269.157	Target: 94544.201, 3276.979	Vol: 25894162.2050	PR:0.50	xCP-growth: {1.0004252281}	APY:1.6%	fee:0.050% *
t=1736556375 6.4%	trades: 0	AMM: 94413.072, 3260.424	Target: 94632.320, 3275.984	Vol: 26087392.1846	PR:0.50	xCP-growth: {1.0004283015}	APY:1.6%	fee:0.050% *
t=1736566615 6.5%	trades: 0	AMM: 94315.582, 3238.538	Target: 94629.494, 3272.776	Vol: 26188088.5356	PR:0.50	xCP-growth: {1.0004299326}	APY:1.6%	fee:0.068% *
t=1736576855 6.6%	trades: 0	AMM: 94370.796, 3238.934	Target: 94570.918, 3269.166	Vol: 26227619.6794	PR:0.50	xCP-growth: {1.0004298493}	APY:1.5%	fee:0.060% *
t=1736587095 6.6%	trades: 0	AMM: 94128.637, 3226.955	Target: 94570.918, 3269.166	Vol: 26279954.2900	PR:0.50	xCP-growth: {1.0004317550}	APY:1.5%	fee:0.077% *
t=1736597335 6.7%	trades: 0	AMM: 94620.353, 3269.302	Target: 94659.335, 3269.968	Vol: 26562180.2130	PR:0.50	xCP-growth: {1.0004334664}	APY:1.5%	fee:0.040% *
